,RMSE,roll_avg,method
2,1.003824983327422,,euclidean
3,0.9655147759222497,,euclidean
4,0.9744604228794852,,euclidean
5,0.9119880760941824,,euclidean
6,0.9184166600714204,,euclidean
7,1.0222444108534483,,euclidean
8,0.9928729160011045,,euclidean
9,0.9645568081088106,,euclidean
10,1.1481070372203381,,euclidean
11,0.9995380631493362,,euclidean
12,0.6874070456445122,,euclidean
13,1.172155810842697,,euclidean
14,0.7003253210951511,,euclidean
15,0.6746072835478623,,euclidean
16,0.4912846083363543,,euclidean
17,0.8037312927032833,,euclidean
18,0.7962221592286194,,euclidean
19,0.7375943132297119,,euclidean
20,0.7265921601734859,,euclidean
21,1.0094199595799087,0.8850432054004692,euclidean
22,1.0664036445279534,0.8881721384604957,euclidean
23,0.9099607269236035,0.8853944360105634,euclidean
24,0.7300828801256759,0.8731755588728729,euclidean
25,0.7922841553316307,0.8671903628347455,euclidean
26,1.1479983613927038,0.8786694479008096,euclidean
27,1.2862801359777023,0.8918712341570222,euclidean
28,0.4783119445187623,0.866143185582905,euclidean
29,1.4104499969346012,0.8884378450241947,euclidean
30,0.8687516622325436,0.874470076274805,euclidean
31,0.6393897256932894,0.8564626594020025,euclidean
32,0.9058359318323512,0.8673841037113943,euclidean
33,0.8557527520364533,0.8515639507710822,euclidean
34,0.8618782854764492,0.8596415989901471,euclidean
35,0.5819911782888928,0.8550107937271987,euclidean
36,0.6227599045709917,0.8615845585389306,euclidean
37,1.012896875915517,0.8720428376995422,euclidean
38,1.0128695053645356,0.8828752050063379,euclidean
39,0.855167312725715,0.8887538549811381,euclidean
40,0.6628842196942963,0.8855684579571786,euclidean
41,1.439695123799363,0.9070822161681514,euclidean
42,1.2479899198276028,0.9161615299331339,euclidean
43,1.0556533561336694,0.9234461613936371,euclidean
45,0.20373044015676636,0.8971285393951918,euclidean
46,0.8043974578421804,0.8977342045207195,euclidean
47,1.1646376293335192,0.8985661679177601,euclidean
48,0.7718936196979608,0.8728468421037731,euclidean
49,0.926179231020062,0.8952402064288381,euclidean
50,0.5981561788071134,0.8546255155224636,euclidean
51,0.6237579995321073,0.8423758323874416,euclidean
52,0.7765802918582624,0.8492353606956904,euclidean
53,1.7790940989577677,0.8928982690519612,euclidean
54,0.4160035279388381,0.8709108078470805,euclidean
55,1.1122536136133865,0.8834295742539273,euclidean
57,1.2230492169192746,0.9154824761854465,euclidean
58,0.7040078373535678,0.9195448728245754,euclidean
59,1.0812357231800047,0.9229618151877998,euclidean
60,0.2823156190406636,0.8864341208716062,euclidean
63,0.8055539380052132,0.8839534521355812,euclidean
64,0.6259144242300406,0.8821049623623685,euclidean
66,0.3244917077145147,0.826344791558126,euclidean
67,0.3671809228542574,0.7823043417094586,euclidean
68,1.2473755867213703,0.7918904532388438,euclidean
69,0.1404503437086066,0.7887264484164358,euclidean
70,0.39298567463693607,0.7681558592561737,euclidean
71,0.7296916895193292,0.7464085622654641,euclidean
72,0.5108823884518622,0.7333580007031592,euclidean
73,0.6767825272557073,0.7208881655149414,euclidean
75,1.0639831329914824,0.7441795132241599,euclidean
76,1.3137322904335795,0.7786782277692335,euclidean
77,0.174866649402833,0.7485925456464619,euclidean
79,0.906785702880587,0.704977125842603,euclidean
80,0.6389466273196569,0.7161242808116439,euclidean
84,0.6645478069330081,0.693738990477625,euclidean
85,0.6288989358155954,0.664031476422441,euclidean
86,1.7547808102724107,0.7165701250683831,euclidean
88,0.9814648822899941,0.7115815830238826,euclidean
89,0.6506964803900863,0.7300006260913539,euclidean
90,0.8341385409736164,0.7314298562397741,euclidean
92,0.2768723023976682,0.7139777501481555,euclidean
94,0.6834746771321708,0.7319268986190383,euclidean
98,1.433357066847385,0.7852357058186945,euclidean
101,0.4024725467954887,0.7429905538224004,euclidean
102,0.16612211190150714,0.7442741422320455,euclidean
103,0.7824471316294151,0.7637472150816694,euclidean
104,0.5637727724605424,0.7554512692287301,euclidean
108,0.4558213787719716,0.7526982187447355,euclidean
111,0.8248567138315136,0.760101928073526,euclidean
117,0.7130302592537971,0.7425542843866416,euclidean
118,0.5907306927127223,0.7064042045005987,euclidean
137,2.041277354345598,0.799724739747737,euclidean
139,0.7779092269857131,0.7932809159529933,euclidean
142,0.9256015431559546,0.8076136617448082,euclidean
154,0.8764982870639033,0.818211185751353,euclidean
158,0.6205019116605304,0.8177913345435996,euclidean
161,0.28286122172419015,0.7441953551161886,euclidean
175,1.2468724762809045,0.7574657348157341,euclidean
181,1.4140825003339994,0.7956350358129298,euclidean
196,0.5807099197475072,0.7829636047516244,euclidean
243,1.1567032799676267,0.8269551536301224,euclidean
246,0.49366698479962695,0.8174647690134952,euclidean
261,1.9204391692010199,0.841818874131177,euclidean
369,1.2937116188793354,0.8863808277353693,euclidean
