,RMSE,roll_avg,method
2,0.9124477038244818,,euclidean
3,1.1395306753280472,,euclidean
4,0.9523112518482972,,euclidean
5,0.9770041381970579,,euclidean
6,0.9060633116014157,,euclidean
7,0.8771126854545912,,euclidean
8,0.9190039496932322,,euclidean
9,0.8995233452461515,,euclidean
10,0.821991875949264,,euclidean
11,0.8710383950775406,,euclidean
12,1.2023716354356069,,euclidean
13,0.8721964026178791,,euclidean
14,0.8736149672893504,,euclidean
15,0.976993611908582,,euclidean
16,0.7209988555434742,,euclidean
17,0.7406620911659465,,euclidean
18,0.8141990832472121,,euclidean
19,0.8151800373568346,,euclidean
20,0.9461360262773603,,euclidean
21,1.2439749554197914,0.924117749924106,euclidean
22,0.8923198720439649,0.9231113583350801,euclidean
23,0.9136289248723628,0.9118162708122959,euclidean
24,0.704294615721742,0.8994154390059682,euclidean
25,1.0939389726651767,0.9052621807293744,euclidean
26,1.2400600357817304,0.9219620169383902,euclidean
27,0.5552455409510082,0.9058686597132111,euclidean
28,0.9721241032287836,0.9085246673899887,euclidean
29,1.0628849531580578,0.916692747785584,euclidean
30,0.4393879819688345,0.8975625530865624,euclidean
31,0.5688113741769992,0.8824512020415354,euclidean
32,0.7177342762144776,0.8582193340804789,euclidean
33,0.9647247468157499,0.8628457512903726,euclidean
34,0.8244798221576688,0.8603889940337887,euclidean
35,0.30584354795916746,0.8268314908363179,euclidean
36,0.6507115099860935,0.8233171235584488,euclidean
37,1.1426374652855062,0.8434158922644267,euclidean
38,0.9076356195870261,0.8480877190814173,euclidean
39,1.143049516637432,0.8644811930454471,euclidean
40,0.3468847486723466,0.8345186291651965,euclidean
41,0.8923324318094205,0.816936502984678,euclidean
42,1.0056053012360884,0.822600774444284,euclidean
43,1.0286958332522458,0.8283541198632782,euclidean
44,0.44079113331114134,0.8151789457427482,euclidean
47,0.5382770712661409,0.7873958506727964,euclidean
48,1.2757458261874588,0.7891801401930827,euclidean
49,1.3525998892186988,0.8290478576064672,euclidean
51,0.4827065372734927,0.8045769793087028,euclidean
52,0.7021066774330704,0.7865380655224534,euclidean
53,1.4063864683372203,0.8348879898408728,euclidean
54,0.2054363664761683,0.8167192394558311,euclidean
55,0.7350364314855484,0.8175843472193846,euclidean
57,0.38911877519462595,0.7888040486383283,euclidean
58,0.8724653353653946,0.7912033242987146,euclidean
59,0.5754207215950377,0.8046821829805083,euclidean
60,0.3571458045631106,0.7900038977093591,euclidean
63,1.1351532698026832,0.789629687935218,euclidean
64,0.5515547336371163,0.7718256436377224,euclidean
66,0.7723347423172328,0.7532899049217125,euclidean
67,0.6255770815642291,0.7672245215663066,euclidean
68,0.8826463111650744,0.7667402155340894,euclidean
69,0.5928610680728185,0.7461030038759259,euclidean
70,0.6883205452396495,0.7290842394752961,euclidean
71,0.8580706868134935,0.7499482171504137,euclidean
72,1.3181507986387107,0.7889419035190421,euclidean
73,0.9405760144659872,0.7721834129329685,euclidean
75,1.1817260234482991,0.7636397196444487,euclidean
76,0.5713818956936936,0.7680734875654587,euclidean
79,0.4440970389458803,0.7551730056410991,euclidean
80,1.4599155192428366,0.7578494581863799,euclidean
84,0.33863124658771754,0.7645092021919573,euclidean
85,0.5664395471112297,0.7560793579732413,euclidean
86,1.2999754559897907,0.8016221920129997,euclidean
88,0.6065549362277378,0.7883266720561168,euclidean
89,0.5744356149084828,0.7882774167217892,euclidean
90,0.3190551295250119,0.7863728829698843,euclidean
92,0.6820459337500236,0.7637175161672515,euclidean
94,0.5043006916613951,0.7613548140684654,euclidean
98,0.3504883724952445,0.740262495577366,euclidean
99,0.20715943625902064,0.7193416133121056,euclidean
100,0.7204494119350261,0.7112317683506031,euclidean
101,0.5087150775667538,0.7070244688252999,euclidean
103,1.386232347345641,0.7419200589305995,euclidean
104,0.6436220752076048,0.7311976283503051,euclidean
108,0.7862707226131503,0.704603624549027,euclidean
111,0.4788263537872339,0.6815161415150894,euclidean
116,1.241260854120971,0.684492883048723,euclidean
117,1.2256809833488238,0.7172078374314795,euclidean
118,1.2815272578673143,0.7590793483775512,euclidean
137,1.370152938578889,0.7545912193443539,euclidean
139,0.9632446688151999,0.7858218904557279,euclidean
142,0.4649679434744078,0.7807483102738869,euclidean
154,0.4235614720021354,0.7369276110745041,euclidean
158,1.360690772992035,0.774634402912719,euclidean
161,0.4271765795050835,0.767271451142549,euclidean
175,1.4736445327344851,0.8250009213030227,euclidean
181,0.954430884474664,0.8386201688392546,euclidean
196,2.043132636091807,0.9155617660607753,euclidean
243,0.5760514719347041,0.9268399210327483,euclidean
246,0.5374981721506686,0.9433568578273308,euclidean
261,1.8650246870792153,1.0005856215845403,euclidean
369,1.48281491212209,1.0492906133123072,euclidean
