,RMSE,roll_avg,method
2,1.15136951437726,,cosine
3,0.9401392046744615,,cosine
4,0.9572145716862491,,cosine
5,0.9919957906808262,,cosine
6,0.8867799590537963,,cosine
7,1.1145829789924475,,cosine
8,0.9797252006069919,,cosine
9,1.1842526649363845,,cosine
10,0.6226202233176897,,cosine
11,0.8798286565421645,,cosine
12,0.818808452098675,,cosine
13,1.0239485925094884,,cosine
14,0.6947603915776452,,cosine
15,0.92655357772969,,cosine
16,0.56831320918469,,cosine
17,0.6610008610487256,,cosine
18,0.9168538328744363,,cosine
19,0.7700612185503164,,cosine
20,0.6032886102405188,,cosine
21,1.0665815873209405,0.8879339549001697,cosine
22,0.9583051818253757,0.8782807382725755,cosine
23,1.0833435149500044,0.8854409537863527,cosine
24,0.8799888251830088,0.8815796664611906,cosine
25,1.0012698711229973,0.8820433704832992,cosine
26,1.4508045247868424,0.9102445987699515,cosine
27,0.8390999047317595,0.8964704450569171,cosine
28,1.557274571663899,0.9253479136097624,cosine
29,1.4926002247981631,0.9407652916028514,cosine
30,0.4476807275224314,0.9320183168130886,cosine
31,0.9574161729277623,0.9358976926323684,cosine
32,0.9436259414585048,0.9421385671003598,cosine
33,1.3279711671872336,0.957339695834247,cosine
34,0.9816518952195661,0.9716842710163431,cosine
35,0.9007627298138691,0.9703947286205523,cosine
36,0.561604686077198,0.9700593024651777,cosine
37,0.6685921901112036,0.9704388689183017,cosine
38,0.5613253889136675,0.952662446720263,cosine
39,1.0590297685055539,0.9671108742180248,cosine
40,0.6012151394276992,0.9670072006773838,cosine
41,0.73156455387982,0.9502563490053278,cosine
42,1.020502355267638,0.9533662076774408,cosine
43,0.542538745592668,0.926325969209574,cosine
44,0.41454034967702796,0.9030535454342751,cosine
46,0.3725342611619541,0.8716167649362229,cosine
47,1.0308044018153661,0.850616758787649,cosine
48,0.8352632763635267,0.8504249273692374,cosine
49,1.5465765015365953,0.8498900238628722,cosine
50,1.049831186778182,0.827751571961873,cosine
51,0.5066906696461434,0.8307020690680587,cosine
52,0.800244779415431,0.8228434993924422,cosine
53,2.0586305308453725,0.8785937288617858,cosine
54,0.47582547886340415,0.8359864444455942,cosine
55,0.9020045543275036,0.8320040774009911,cosine
57,0.8980797186000794,0.8318699268403016,cosine
58,0.8463932536642742,0.8461093552196554,cosine
59,0.7475182723268918,0.8500556593304397,cosine
60,0.4659516718997451,0.8452869734797437,cosine
63,0.9907529221154843,0.8418731311602402,cosine
64,0.06599723483631789,0.8151122359306712,cosine
65,1.1886149056203597,0.8379647535176981,cosine
66,0.6766875610308685,0.8207740138058595,cosine
67,0.4266442055678537,0.8149792868046187,cosine
68,0.7487359327763786,0.8316890659595861,cosine
69,0.34315340743607614,0.8302200232732924,cosine
70,0.796856656799009,0.8185226360224744,cosine
71,0.3866948341265414,0.7960942139106251,cosine
72,1.1856609081394716,0.778048434240769,cosine
73,0.6574954893636419,0.7584316493700418,cosine
75,1.2546705073859719,0.7958306412570332,cosine
76,0.8481641900417883,0.7982266117883511,cosine
79,0.5638071828237162,0.7234854443872684,cosine
80,0.793087552901105,0.7393485480891534,cosine
84,0.6998691993685832,0.7292417803412075,cosine
85,0.9820462135300141,0.7334401050877041,cosine
86,0.9460256475785623,0.7384217247834185,cosine
88,0.8193357402963923,0.7420125981818935,cosine
89,1.1389558392233579,0.7756628065480742,cosine
90,1.3666929290226055,0.7944598068934302,cosine
92,0.4637915715586969,0.8143495237295492,cosine
94,0.6220116927726703,0.7860193630871646,cosine
98,0.7896390153475906,0.7916669358030007,cosine
100,0.29396783720771585,0.7850331173849938,cosine
101,1.2428354855646555,0.8097380950244076,cosine
103,0.7232939260431227,0.8287451209547599,cosine
104,0.9654479471675833,0.8371746854731887,cosine
108,0.8708620674400562,0.8613830471388646,cosine
111,1.270485585971526,0.8656242810304672,cosine
116,0.8377205437476167,0.874635533749666,cosine
117,0.30278105599436056,0.8270410611800854,cosine
118,0.24172595665913882,0.7967191495109528,cosine
137,1.482834385118245,0.8426705096256792,cosine
139,0.5143773296722524,0.8287349984642367,cosine
142,0.15909681196511194,0.8016963790940631,cosine
154,0.8505317491143711,0.795120655873281,cosine
158,0.6971048388553759,0.7826746154371216,cosine
161,0.6834074507005407,0.775878200957329,cosine
175,2.2047742107031048,0.8291691195313163,cosine
181,1.0234347964225665,0.8120062129013144,cosine
196,1.691155097958898,0.8733743892213244,cosine
243,1.0377296044690214,0.894160284806142,cosine
246,0.5813046146390671,0.8837435647707158,cosine
261,1.5066088469506733,0.9443756152578636,cosine
369,1.6728140650612124,0.9658745442326916,cosine
